Smiles,DC50 (nM),Sensor,Dmax (%),"IC50 (nM, Protac to Target)","IC50 (nM, Cellular activities)",Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOCCC(=O)NCCCOC(=O)NC(NC3=NC=CC=N3)C(Cl)(Cl)Cl)C(C)(C)C)C=C2)SC=N1,1600,0,,,2600/1990,1075.511,1073.361723,4.18,-6.21,71,4,17,6,31,263.02
CC1=C(C(=O)N2N=C(NC3=CC=C(S(=O)(=O)NCCOCC4=CN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)C=C3)N=C2N)SC=C1,57.7,0,,,,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
COC1=CC(C(=O)NCCOCCOCCOCCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(C(F)(F)F)C(OC2=CC=CC3=C2C(=O)CC3)=N1,73.7,0,79/93/93,,>25119/>25119/19953,917.851,917.2843544,3.83,-5.15,66,7,15,4,20,242.78
CC[C@H]1[C@@H](COC2=NC=C(C#CCN3CCC4(CC3)CCN(C3=NC=C(C(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)C=N3)CC4)C3=CC(C(N)=O)=C(OC)C=C23)NC(=O)[C@H]1F,93.5,0,,,,1086.305,1085.495707,4.58,-5.32,78,9,15,5,15,247.43
NC(=O)C1=C(N)N([C@@H]2CCCN(C(=O)OCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)N=C1C1=CC=C(OC2=CC=C(F)C=C2F)C=C1,1487,0,64/36,,,844.829,844.299196,3.51,-4.85,61,7,14,4,16,239.74
CC(=O)N1C2=CC=C(C3=CC=C(C(=O)NCCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC4=CC=C(C5=C(C)N=CS5)C=C4)C(C)(C)C)C=C3)C=C2[C@H](NC2=CC=C(Cl)C=C2)C[C@@H]1C,163,0,94/78,,,992.64,991.4069106,5.79,-6.54,70,7,11,5,18,191.53
O=C1CCC(N2C(=O)C3=CC=C(NCCOCCOCCOCCOCCOCCNCCCONC(=O)C4=CC=C(F)C(F)=C4NC4=CC=C(I)C=C4F)C=C3C2=O)C(=O)N1,106,0,,,,984.764,984.237789,4.32,-5.34,62,5,14,5,28,204.12
COC1=CC2=NC=NC(NC3=CC=C(F)C(Cl)=C3)=C2C=C1OCCCCCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,17,0,98.9/96.6,,,934.532,933.3661887,5.84,-6.31,65,6,13,4,22,186.36
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)C(C)(C)C)C=C2)SC=N1,55,0,,,,1179.47,1178.539191,3.54,-5.88,82,6,18,6,31,278.64
CC[C@H](C)[C@H](N)C1=CN([C@@H](CC2=CC=C(O)C=C2)C(=O)N2CCN(C3=NC(NCCOCCOCCOCC4=CN(CCCCCC(=O)NC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)=NC(N4CCN(C(=O)[C@H](CC5=CC=C(O)C=C5)N5C=C([C@@H](N)[C@@H](C)CC)N=N5)CC4)=N3)CC2)N=N1,550,0,,,,1447.675,1446.742156,3.9,-5.1,105,11,29,7,36,422.77
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,100,0,96/97,,,958.608,957.3432648,4.34,-5.47,66,7,14,4,17,202.26
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(CCOCCOCCNC(=O)CNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,33.3,0,,0.6,26.4/9.2/374,1002.592,1001.387238,5.43,-5.38,70,7,16,5,22,239.59
COC1=CC(N2CCN(CCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2S(=O)(=O)C(C)C)=N1,80,0,,0.69,21.3/2.6/95,961.499,960.3355366,4.65,-4.77,67,7,17,5,21,242.83
CC1=C(C2=CC=C(CNC(=O)[C@@H]3[C@@H](F)[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,2,0,,,,1020.651,1019.360058,5.06,-5.6,70,7,15,4,20,211.49
CN(C1=NC=CC=C1CNC1=NC(NC2=CC=C(NC(=O)C3=CN(CCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=NC=C1C(F)(F)F)S(C)(=O)=O,0.85,0,,,,949.93,949.2901256,3.75,-5.25,67,7,18,5,20,273.96
O=C(CCCCCCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1)NCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,2.83,0,>99/>99/>99,2.3,19/56/5130,876.987,876.3970389,4.36,-5.46,64,7,10,4,19,211.05
NC(=O)C1=C(N)N([C@@H]2CCCN(C(=O)OCCOCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)N=C1C1=CC=C(OC2=CC=C(F)C=C2F)C=C1,19.3,0,87/80,,,976.988,976.3778402,3.61,-5.02,70,7,17,4,25,267.43
CC1=C(C2=CC=C([C@H](CC(=O)N3CCC(N4CCC(C#CC5=CC=C(C(=O)N[C@H]6C(C)(C)[C@H](OC7=CC=C(C#N)C(Cl)=C7)C6(C)C)C=C5)CC4)CC3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C=C2)SC=N1,4.01,0,>95/>95/>95,,0.25/0.34/183,1129.841,1128.507374,6.73,-5.12,80,9,11,4,14,197.3
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(OCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C1)N=C2C1=CC=C(Cl)C=C1,0.8,0,97/100,,,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
O=C(CCCCCCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1)NCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.629,0,>99/>99/>99,,5140/1440/4790,876.987,876.3970389,4.36,-5.46,64,7,10,4,19,211.05
CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)N2CCC(C#CC3=CC=C(C(=O)N[C@H]4C(C)(C)[C@H](OC5=CC=C(C#N)C(Cl)=C5)C4(C)C)C=C3)CC2)C2=CC=CC=C2)C(C)C)=C1,0.57,0,>99/>95/>95,,02-Jun,915.532,914.4133759,6.35,-4.12,66,7,9,3,12,178.1
O=C1CCC(N2C(=O)C3=CC=CC(NCCCCCC(=O)N4CCN(C5=CC=CC(C6=CN=C7C=CC(N8CCC[C@@H]8C8=CC=CC(F)=C8)=NN67)=N5)CC4)=C3C2=O)C(=O)N1,0.87,0,,,5.4,812.907,812.3558428,4.99,-4.67,60,9,12,2,12,165.45
O=C(CCCCCCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1)NCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.386,0,>99/>99/>99,,8410/12300/4360,876.987,876.3970389,4.36,-5.46,64,7,10,4,19,211.05
CN(C1=NC=CC=C1CNC1=NC(NC2=CC=C(NC(=O)C3=CN(CCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=NC=C1C(F)(F)F)S(C)(=O)=O,0.205,0,,,,949.93,949.2901256,3.75,-5.25,67,7,18,5,20,273.96
O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCC(=O)N4CCN(C5=CC=CC(C6=CN=C7C=CC(N8CCC[C@@H]8C8=CC=CC(F)=C8)=NN67)=N5)CC4)=C3C2=O)C(=O)N1,1.295,0,,,2.9,814.879,814.3351073,4.08,-4.49,60,9,13,2,12,174.68
CN(C1=NC=CC=C1CNC1=NC(NC2=CC=C(NC(=O)C3=CN(CCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=NC=C1C(F)(F)F)S(C)(=O)=O,0.23,0,,,,949.93,949.2901256,3.75,-5.25,67,7,18,5,20,273.96
CCN(CCCCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,0.3,0,>95/>95,,0.77,1004.285,1003.422371,7.07,-6.27,71,7,13,5,22,190.86
O=C1CCC(N2C(=O)C3=CC=CC(NCCN4C=C(CCCC(=O)N[C@@H]5CCN(C6=NC=C(C(=O)NC7=CC=C(OC(F)(F)Cl)C=C7)C=C6C6=N[NH]C=C6)C5)N=N4)=C3C2=O)C(=O)N1,625,1,,,,885.289,884.2721257,3.73,-5.03,63,8,14,5,16,238.53
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCN1C=C(COCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N1)N=C2C1=CC=C(Cl)C=C1,2565,1,,,,825.308,824.2255922,3.43,-4.63,58,8,15,2,13,204.89
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCN1C=C(COCCOCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N1)N=C2C1=CC=C(Cl)C=C1,3130,1,,,,869.361,868.251807,3.37,-4.71,61,8,16,2,16,214.12
CC1=NC(NC2=NC=C(C(=O)NC3=C(C)C=CC=C3Cl)S2)=CC(N2CCN(C(=O)COCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC3=CC=CC=C3)CC2)=N1,100000,1,,,,923.538,922.3926575,3.73,-5.9,64,5,15,6,24,235.49
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCCOCCOCCOCC(=O)N1CCN(CC2=CC=C(C(=O)NC3=CC=C(C)C(NC4=NC=CC(C5=CC=CN=C5)=N4)=C3)C=C2)CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)C1CCCCC1,100000,1,,,,1213.495,1212.648422,5.23,-5.06,89,9,15,6,29,250.68
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C(=O)COCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC4=CC=CC=C4)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,100000,0,,,,959.162,958.5065091,3.5,-4.86,70,6,14,6,26,235.49
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCCCCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,>40000,774.82,774.2999895,4.29,-6.13,56,6,13,1,13,197.98
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCCCCCCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,>40000,802.874,802.3312897,4.86,-6.4,58,6,13,1,15,197.98
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)N1CCC(NC2=CC=CC4=C2C(=O)N(C2CCC(=O)NC2=O)C4=O)CC1)OC3=O,40000,1,,,28860,770.836,770.3163083,3.86,-5.05,56,7,12,2,8,194.79
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)N1CCN(C2=CC=CC4=C2C(=O)N(C2CCC(=O)NC2=O)C4=O)CC1)OC3=O,40000,1,,,24970,756.809,756.3006582,3.56,-4.7,55,7,12,1,7,186
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,14140,746.766,746.2686894,3.7,-5.83,54,6,13,1,11,197.98
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,12100,732.739,732.2530393,3.56,-5.74,53,6,13,1,10,197.98
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)NCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,7090,744.798,744.3006582,3.79,-5.25,54,6,12,3,11,203.58
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,6840,688.686,688.2268246,3.45,-5.59,50,6,12,1,7,188.75
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)NCCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,6230,786.879,786.3476084,4.63,-5.83,57,6,12,3,14,203.58
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)NCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,5430,758.825,758.3163083,4.06,-5.44,55,6,12,3,12,203.58
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,4460,864.898,864.3316836,3.56,-5.94,62,6,16,1,19,225.67
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCCOCCOCCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,40000,1,,,4030,820.845,820.3054688,3.46,-5.83,59,6,15,1,16,216.44
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(=O)NCCOCCOCCOCCNC(=O)C1=CC=C(S(=O)(=O)CC(C)(O)C(=O)NC2=CC=C(C#N)C(C(F)(F)F)=C2)C=C1,30000,1,,1100,,921.005,920.3601622,2.7,-5.41,64,3,13,7,26,268.5
CC1=NN(C2=CC=C(C#N)C=C2Cl)C(C)=C1CC1=CC=C(C(=O)NCCOCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC2=CC=CC=C2)C=C1,30000,1,,>10000,,830.427,829.3929748,4.18,-5.05,59,4,11,5,24,202.85
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,30000,0,,,81000/68000,652.712,652.2757809,2.81,-4.41,48,6,11,3,11,177.39
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,30000,0,,,58000/25000,726.791,726.3125603,2.59,-4.41,53,6,13,3,16,195.85
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,25000,0,,,76000/51000,666.739,666.2914309,3.1,-4.54,49,6,11,3,12,177.39
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,22000,0,,,17000/32000,680.766,680.307081,3.36,-4.65,50,6,11,3,13,177.39
CC1=C(C#N)C(C2=CC=C(C#N)C=C2)=C(C)N1CC1=CC=C(C(=O)NCCOCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC2=CC=CC=C2)C=C1,21600,0,,27,,820.004,819.4319472,3.95,-4.99,60,4,11,5,24,213.75
CC1=NN(C2=CC=C(C#N)C(Cl)=C2)C(C)=C1CCC1=CC=C(C(=O)NCCOCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC2=CC=CC=C2)C=C1,20500,0,,190,,844.454,843.4086249,4.58,-5.09,60,4,11,5,25,202.85
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(N)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,20000,1,,180/56,5000,983.231,982.4193509,3.64,-5.37,69,7,16,5,20,237.51
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(=O)NCCOCCOCCOCCNC(=O)C1=CC=CC(C2=CC(NC3=CC=C(OC(F)(F)F)C=C3)=NC=N2)=C1,20000,0,,,,839.913,839.3829463,4,-5.48,60,4,12,6,25,208.28
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)NC1CCN(C2=CC=CC4=C2C(=O)N(C2CCC(=O)NC2=O)C4=O)CC1)OC3=O,16840,0,,,4770,770.836,770.3163083,3.93,-4.99,56,7,12,2,8,194.79
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,15000,0,,,15000/19000,694.793,694.3227311,3.68,-4.75,51,6,11,3,14,177.39
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCCCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,14000,0,,,12000/20000,708.82,708.3383811,3.99,-4.82,52,6,11,3,15,177.39
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)OCOC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,13850,0,,,12450,718.712,718.2373893,3.41,-5.6,52,6,13,1,9,197.98
CC1=NN(C2=CC=C(C#N)C(C(F)(F)F)=C2)C(C)=C1CC1=CC=C(C(=O)NCCOCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC2=CC=CC=C2)C=C1,11700,0,,190,,863.979,863.4193318,4.74,-5.14,62,4,11,5,24,202.85
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C(=O)CCCC4=CN(CCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,10000,1,,,,916.016,915.3928763,3.89,-4.97,68,9,15,4,16,229.64
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C(=O)CCCC4=CN(CCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,10000,1,,,,960.069,959.419091,3.99,-5.04,71,9,16,4,19,238.87
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C(=O)CCCC4=CN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,10000,1,,,,1004.122,1003.445306,4.02,-5.13,74,9,17,4,22,248.1
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C(=O)CCCC4=CN(CCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,10000,1,,,,1048.175,1047.471521,4.08,-5.23,77,9,18,4,25,257.33
CC1=CC=C(NC(=O)C2=CC=C(CN3CCN(C(=O)CCCC4=CN(CCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)CC3)C=C2)C=C1NC1=NC=CC(C2=CC=CN=C2)=N1,10000,1,,,,1092.228,1091.497735,4.17,-5.25,80,9,19,4,28,266.56
NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCC#CC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)C3=CC4=CC(OP(=O)(O)O)=CC=C4[NH]3)C(=O)N12)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1,10000,1,,,>2000,1124.158,1123.42047,3.55,-5.26,81,9,11,8,19,320.04
NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCC#CC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)C3=CC4=CC(CP(=O)(O)O)=CC=C4[NH]3)C(=O)N12)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1,10000,1,,,>2000,1122.186,1121.441205,3.45,-5.27,81,9,10,8,19,310.81
C=C(F)C(=O)N1CCN(C2=NC(OC[C@@H]3CCCN3CCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)=NC3=C2CCN(C2=CC=CC4=CC=CC(Cl)=C24)C3)C[C@@H]1CC#N,10000,1,50,,,1162.831,1161.503685,5.84,-5.23,82,9,16,3,22,218.92
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCOCCOCCOCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=C(C)C3=C2C)C=C1,10000,0,,,26000/23000,798.898,798.3700752,3.24,-4.65,58,6,14,3,21,205.08
CCN1CCN(CC2=CC=C(NC(=O)C3=CC=CC(C4=CC=C5N=C(NC(=O)COCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC6=CC=CC=C6)SC5=N4)=C3)C=C2C(F)(F)F)CC1,10000,0,,,,1020.189,1019.455066,4.68,-6,72,6,14,6,26,222.6
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OCCOCCOCCOCC(=O)N3CCN(CC4=CC=C(C(=O)NC5=CC=C(C)C(NC6=NC=CC(C7=CC=CN=C7)=N6)=C5)C=C4)CC3)=C2)=CS1)C1CCCCC1,10000,0,,,,1150.417,1149.546994,5.65,-6.28,83,9,17,4,27,231.67
CC(C)NC1=CC(N2C=CC3=CC(C#N)=CN=C32)=NC=C1C(=O)N[C@H]1CC[C@H](C(=O)NCCOCCOCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,7420,0,71,12,,890.955,890.3711378,3.06,-4.37,65,7,15,5,19,265.07
COC(=O)C1=CC[C@]23CC[C@@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)NCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)OC3=O,6720,0,,,6230,730.771,730.2850082,3.53,-5.15,53,6,12,3,10,203.58
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCC3=CC(N)=CC(CCOCCOCC#CC4=CC=C(C5=N[C@@H](CC(=O)NCCS(=O)(=O)O)C6=NN=C(C)N6C6=C5C(C)=C(C)S6)C=C4)=C3)C(C)(C)C)C=C2)SC=N1,6500,0,100,18/13,11000,1175.47,1174.443851,3.51,-5.07,82,8,17,6,22,282.65
O=C1CCC(N2CC3=C(NC(=O)CCCCCCCCCCCNC(=O)C4=CC(CC5=N[NH]C(=O)C6=CC=CC=C56)=CC=C4F)C=CC=C3C2=O)C(=O)N1,6200,0,,20.7,,736.845,736.3384614,5.02,-5.84,54,6,7,4,17,170.43
O=C1CCC(N2CC3=C(NC(=O)CCCCCCCCCCNC(=O)C4=CC(CC5=N[NH]C(=O)C6=CC=CC=C56)=CC=C4F)C=CC=C3C2=O)C(=O)N1,5400,0,,54.7,2900,722.818,722.3228113,4.73,-5.66,53,6,7,4,16,170.43
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCOCCOCCOCCNC(=O)CN2CCN(C3=CC=C(NC4=NC=C5C(C)=C(C(C)=O)C(=O)N(C6CCCC6)C5=N4)N=C3)CC2)C[C@H]1C(=O)NC1=C(F)C=CC=C1F)C(C)(C)C,5012,0,,16,,1130.309,1129.588442,3.53,-4.59,81,7,18,6,26,272.68
CC1=CC=C(N2N=C3C(=O)N(CCCC(=O)NCCCCCCCCNC4=CC=C5C(=O)N(C6CCC(=O)NC6=O)C(=O)C5=C4)N=C(C)C3=C2C)C=C1,5000,0,,,7000,722.847,722.3540312,4.39,-4.93,53,6,11,3,16,177.39
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCCOCCOCCOCCNC(=O)C1=CC=CC(C2=CC(NC3=CC=C(OC(F)(F)F)C=C3)=NC=N2)=C1)C(C1=CC=CC=C1)C1=CC=CC=C1)C1CCCCC1,5000,0,,,,1094.246,1093.524859,5.81,-5.65,79,7,13,6,28,223.47
