DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
15,1020.21,1019.389689,6.27,-6.38,71,6,12,3,21,186.66
14.9,787.834,787.3078093,3.25,-5.04,58,8,14,3,14,213.2
14.3,936.04,935.428987,2.8,-4.18,68,8,18,4,21,248.62
14,1104.132,1103.402687,7.32,-6.33,70,5,10,6,27,174.02
13,936.04,935.428987,2.8,-4.18,68,8,18,4,21,248.62
12.9,897.998,897.403441,3.26,-4.61,66,9,17,3,15,239.61
12.6,1093.326,1092.458611,3.9,-5.67,77,9,18,4,17,253.83
11.6,843.942,843.3704095,4.52,-5.19,62,8,14,3,18,213.2
11.4,1138.818,1137.515429,6.4,-5.97,79,8,15,5,21,214.56
11,936.124,935.4163944,4.55,-5.83,67,8,14,5,16,208.6
11,901.437,900.3737166,5.01,-4.98,64,7,13,3,22,184.63
11,1105.461,1104.619431,7.1,-5.69,79,6,13,6,32,233.24
10.6,1231.883,1230.375551,6.81,-6.57,84,9,15,4,22,214.71
10.6,884.015,883.4241764,4.14,-4.69,65,9,17,3,16,222.54
10.1,1040.758,1039.432749,5.8,-5.87,72,7,14,5,20,214.98
10,1056.604,1055.383884,4.34,-5.19,74,8,20,4,26,266.56
10,1020.651,1019.360058,5.06,-5.6,70,7,15,4,20,211.49
10,1020.651,1019.360058,5.06,-5.6,70,7,15,4,20,211.49
